from,to,const
% Coal generators (short ton per GWh),,
1T,EC,0.0885
2T,EC,0.317
3T,EC,0.168
4T,EC,0.101
1T,ED,0.0648
2T,ED,0.232
3T,ED,0.123
4T,ED,0.0737
% Petroleum generation,,
EO,EL,2.52488
% Nuclear,,
EN,EL,0.04089575
