from,to
EV12,EL12
EV13,EL13
% Solar Thermal,
EU01,EL01
EU02,EL02
EU03,EL03
EU04,EL04
EU05,EL05
EU06,EL06
EU07,EL07
EU08,EL08
EU09,EL09
EU10,EL10
EU11,EL11
EU12,EL12
EU13,EL13
% Nuclear,
EN01,EL01
EN02,EL02
EN03,EL03
EN04,EL04
EN05,EL05
EN06,EL06
EN07,EL07
EN08,EL08
EN09,EL09
EN10,EL10
EN11,EL11
EN12,EL12
EN13,EL13
% Oil,
EO01,EL01
EO02,EL02
EO03,EL03
EO04,EL04
EO05,EL05
EO06,EL06
EO07,EL07
EO08,EL08
EO09,EL09
EO10,EL10
EO11,EL11
EO12,EL12
EO13,EL13
% IPCC,
EP01,EL01
EP02,EL02
EP03,EL03
EP04,EL04
EP05,EL05
EP06,EL06
EP07,EL07
EP08,EL08
EP09,EL09
EP10,EL10
EP11,EL11
EP12,EL12
EP13,EL13
% Hydro,
EH01,EL01
EH02,EL02
EH03,EL03
EH04,EL04
EH05,EL05
EH06,EL06
EH07,EL07
EH08,EL08
EH09,EL09
EH10,EL10
EH11,EL11
EH12,EL12
EH13,EL13
% NGCC,
EG01,EL01
EG02,EL02
EG03,EL03
EG04,EL04
EG05,EL05
EG06,EL06
EG07,EL07
EG08,EL08
EG09,EL09
EG10,EL10
EG11,EL11
EG12,EL12
EG13,EL13
% CT,
ET01,EL01
ET02,EL02
ET03,EL03
ET04,EL04
ET05,EL05
ET06,EL06
ET07,EL07
ET08,EL08
ET09,EL09
ET10,EL10
ET11,EL11
ET12,EL12
ET13,EL13
% Tidal Power,
E201,EL01
E202,EL02
E203,EL03
E204,EL04
E205,EL05
E206,EL06
E207,EL07
E208,EL08
E209,EL09
E210,EL10
E211,EL11
E212,EL12
E213,EL13
% Oceanic Thermal,
E301,EL01
E302,EL02
E303,EL03
E304,EL04
E305,EL05
E306,EL06
E307,EL07
E308,EL08
E309,EL09
E310,EL10
E311,EL11
E312,EL12
E313,EL13
% Geothermal,
E101,EL01
E102,EL02
E103,EL03
E104,EL04
E105,EL05
E106,EL06
E107,EL07
E108,EL08
E109,EL09
E110,EL10
E111,EL11
E112,EL12
E113,EL13
% Electricity transmission,
EL01,EL03
EL01,EL04
EL01,EL09
EL01,ELON
EL02,EL10
EL03,EL06
EL03,EL09
EL04,EL05
EL04,EL09
EL04,EL10
EL05,EL10
EL05,EL11
EL05,EL12
EL05,ELMB
EL05,ELON
EL06,EL07
EL06,ELON
EL06,ELQU
EL07,ELQU
EL07,ELNB
EL08,EL09
EL09,EL10
EL10,EL12
EL11,EL12
EL11,EL13
EL11,ELAB
EL12,EL13
EL13,ELMX
% Canadian points of entry,
XEAB,ELAB
XEMB,ELMB
XEON,ELON
XEQU,ELQU
XENB,ELNB
% Coal transportation to generators,
1TMI,EC01
1TOH,EC01
1TKY,EC01
1TIN,EC01
1TWY,EC01
1TVA,EC01
1TTX,EC02
1TPA,EC03
1TMD,EC03
1TDE,EC03
1TMO,EC04
1TIL,EC04
1TWI,EC04
1TWI,EC05
1TMN,EC05
1TND,EC05
1TSD,EC05
1TIA,EC05
1TNE,EC05
1TNY,EC06
1TME,EC07
1TNH,EC07
1TVT,EC07
1TMA,EC07
1TCT,EC07
1TRI,EC07
1TFL,EC08
1TVA,EC09
1TTN,EC09
1TNC,EC09
1TSC,EC09
1TGA,EC09
1TAL,EC09
1TMS,EC09
1TMS,EC10
1TLA,EC10
1TAR,EC10
1TOK,EC10
1TKS,EC10
1TMO,EC10
1TWA,EC11
1TOR,EC11
1TID,EC11
1TMT,EC11
1TWY,EC11
1TUT,EC11
1TNV,EC11
1TWY,EC12
1TCO,EC12
1TAZ,EC12
1TNM,EC12
1TCA,EC13
2TMI,EC01
2TOH,EC01
2TKY,EC01
2TIN,EC01
2TWY,EC01
2TVA,EC01
2TTX,EC02
2TPA,EC03
2TMD,EC03
2TDE,EC03
2TMO,EC04
2TIL,EC04
2TWI,EC04
2TWI,EC05
2TMN,EC05
2TND,EC05
2TSD,EC05
2TIA,EC05
2TNE,EC05
